0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
1 0 3 2 6 7 4 5 11 10 9 8 14 15 12 13 19 18 17 16 21 20 23 22
2 3 0 1 7 6 5 4 9 8 11 10 15 14 13 12 17 16 19 18 22 23 20 21
3 2 1 0 5 4 7 6 10 11 8 9 13 12 15 14 18 19 16 17 23 22 21 20
4 5 6 7 8 9 10 11 0 1 2 3 16 17 18 19 20 21 22 23 12 13 14 15
5 4 7 6 10 11 8 9 3 2 1 0 18 19 16 17 23 22 21 20 13 12 15 14
6 7 4 5 11 10 9 8 1 0 3 2 19 18 17 16 21 20 23 22 14 15 12 13
7 6 5 4 9 8 11 10 2 3 0 1 17 16 19 18 22 23 20 21 15 14 13 12
8 9 10 11 0 1 2 3 4 5 6 7 20 21 22 23 12 13 14 15 16 17 18 19
9 8 11 10 2 3 0 1 7 6 5 4 22 23 20 21 15 14 13 12 17 16 19 18
10 11 8 9 3 2 1 0 5 4 7 6 23 22 21 20 13 12 15 14 18 19 16 17
11 10 9 8 1 0 3 2 6 7 4 5 21 20 23 22 14 15 12 13 19 18 17 16
12 15 14 13 20 23 22 21 16 19 18 17 0 3 2 1 8 11 10 9 4 7 6 5
13 14 15 12 23 20 21 22 18 17 16 19 3 0 1 2 10 9 8 11 5 6 7 4
14 13 12 15 21 22 23 20 19 16 17 18 1 2 3 0 11 8 9 10 6 5 4 7
15 12 13 14 22 21 20 23 17 18 19 16 2 1 0 3 9 10 11 8 7 4 5 6
16 19 18 17 12 15 14 13 20 23 22 21 4 7 6 5 0 3 2 1 8 11 10 9
17 18 19 16 15 12 13 14 22 21 20 23 7 4 5 6 2 1 0 3 9 10 11 8
18 17 16 19 13 14 15 12 23 20 21 22 5 6 7 4 3 0 1 2 10 9 8 11
19 16 17 18 14 13 12 15 21 22 23 20 6 5 4 7 1 2 3 0 11 8 9 10
20 23 22 21 16 19 18 17 12 15 14 13 8 11 10 9 4 7 6 5 0 3 2 1
21 22 23 20 19 16 17 18 14 13 12 15 11 8 9 10 6 5 4 7 1 2 3 0
22 21 20 23 17 18 19 16 15 12 13 14 9 10 11 8 7 4 5 6 2 1 0 3
23 20 21 22 18 17 16 19 13 14 15 12 10 9 8 11 5 6 7 4 3 0 1 2
